Date,Transaction
1/10/17,Arizona Diamondbacks signed free agent LHP Jared Miller to a minor league contract and invited him to spring training.
1/10/17,Arizona Diamondbacks signed free agent LHP Yuhei Nakaushiro to a minor league contract and invited him to spring training.
1/10/17,Arizona Diamondbacks signed free agent LHP Josh Taylor to a minor league contract and invited him to spring training.
1/10/17,Arizona Diamondbacks signed free agent OF Reymond Fuentes to a minor league contract and invited him to spring training.
1/10/17,Cincinnati Reds signed free agent RHP Louis Coleman to a minor league contract and invited him to spring training.
1/10/17,Oakland Athletics sent 2B Max Muncy outright to Nashville Sounds.
1/10/17,Los Angeles Dodgers signed free agent RHP Kenley Jansen.
1/10/17,Los Angeles Dodgers designated 2B Micah Johnson for assignment.
1/10/17,Chicago Cubs signed free agent C Ali Solis to a minor league contract.
1/10/17,Colorado Rockies signed free agent C Tanner Murphy to a minor league contract.
1/10/17,Chicago White Sox signed free agent C Geovany Soto to a minor league contract and invited him to spring training.
1/10/17,Colorado Rockies signed free agent SS Anthony Phillips to a minor league contract.
1/11/17,Detroit Tigers invited non-roster RHP Jeff Ferrell to spring training.
1/11/17,Detroit Tigers invited non-roster RHP Joe Jimenez to spring training.
1/11/17,Detroit Tigers invited non-roster RHP Adam Ravenelle to spring training.
1/11/17,Detroit Tigers invited non-roster C Grayson Greiner to spring training.
1/11/17,Detroit Tigers invited non-roster C Austin Green to spring training.
1/11/17,Detroit Tigers invited non-roster 1B Dominic Ficociello to spring training.
1/11/17,Detroit Tigers invited non-roster RF Mike Gerber to spring training.
1/11/17,Detroit Tigers invited non-roster OF Jason Krizan to spring training.
1/11/17,Philadelphia Phillies invited non-roster RHP Victor Arano to spring training.
1/11/17,Philadelphia Phillies invited non-roster SS J.P. Crawford to spring training.
1/11/17,Philadelphia Phillies invited non-roster 2B Taylor Featherston to spring training.
1/11/17,Philadelphia Phillies invited non-roster RHP Dalier Hinojosa to spring training.
1/11/17,Philadelphia Phillies invited non-roster 1B Rhys Hoskins to spring training.
1/11/17,Philadelphia Phillies invited non-roster 2B Scott Kingery to spring training.
1/11/17,Philadelphia Phillies invited non-roster RHP Michael Mariot to spring training.
1/11/17,Philadelphia Phillies invited non-roster C Logan Moore to spring training.
1/11/17,Philadelphia Phillies invited non-roster RHP Colton Murray to spring training.
1/11/17,Philadelphia Phillies invited non-roster C Chace Numata to spring training.
1/11/17,Philadelphia Phillies invited non-roster LF Cameron Perkins to spring training.
1/11/17,Philadelphia Phillies invited non-roster LF Andrew Pullin to spring training.
1/11/17,Philadelphia Phillies invited non-roster 1B Brock Stassi to spring training.
1/11/17,New York Mets invited non-roster RHP Chasen Bradford to spring training.
1/11/17,New York Mets invited non-roster C Xorge Carrillo to spring training.
1/11/17,New York Mets invited non-roster LHP P.J. Conlon to spring training.
1/11/17,New York Mets invited non-roster SS Phillip Evans to spring training.
1/11/17,New York Mets invited non-roster SS Luis Guillorme to spring training.
1/11/17,New York Mets invited non-roster RHP Kevin McGowan to spring training.
1/11/17,New York Mets invited non-roster LHP David Roseboom to spring training.
1/11/17,New York Mets invited non-roster RHP Paul Sewald to spring training.
1/11/17,New York Mets invited non-roster 1B Dominic Smith to spring training.
1/11/17,New York Mets invited non-roster CF Champ Stuart to spring training.
1/11/17,New York Mets invited non-roster LF Travis Taijeron to spring training.
1/11/17,New York Mets invited non-roster RHP Corey Taylor to spring training.
1/11/17,New York Mets invited non-roster RHP Logan Taylor to spring training.
1/11/17,Atlanta Braves traded CF Mallex Smith and RHP Shae Simmons to Seattle Mariners for LHP Luiz Goharaand LHP Thomas Burrows.
1/11/17,Seattle Mariners designated Cody Martin for assignment.
1/11/17,"Tampa Bay Rays traded LHP Drew Smyly to Seattle Mariners for SS Carlos Vargas, CF Mallex Smith and LHP Ryan Yarbrough."
1/11/17,Tampa Bay Rays claimed RF Jason Coats off waivers from Chicago White Sox.
1/11/17,Tampa Bay Rays designated RHP Dylan Floro for assignment.
